Genome,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
14,8,8,0,0,9,11,0,15,12,16,8,14,0,0,8,16,8,0,8,11,0,16,16,8,16,16,16,16,16,16,0,16,8,24,8,16,16,16,8,17,0,16,24,25,19,8,60,24,22,60,24,23,18,0,17,0,60,60,60,60,60,8,24,24,25,16,60,63,8,22,25,46,63,63,30,63,3,63,28,63,63,8,63,30,8,8,55,62,63,16,16,31,16,53,55,16,63,46,30,63
15,8,8,8,8,15,0,0,8,12,8,8,13,14,16,9,8,16,8,8,13,16,0,20,16,16,16,16,8,16,16,16,16,16,8,4,20,16,8,19,16,19,8,21,24,24,17,24,60,25,27,16,24,60,60,60,8,52,24,17,60,8,24,24,63,8,24,0,25,28,30,63,27,63,63,63,63,63,63,63,20,63,29,63,20,54,8,54,29,8,54,29,16,15,27,27,29,63,30,60,63
16,8,8,0,11,0,8,11,9,8,8,8,0,16,0,15,0,8,8,16,0,22,8,13,8,16,0,8,0,16,11,16,16,16,8,21,16,8,23,16,24,8,24,8,16,24,0,15,8,25,44,8,24,60,23,0,25,24,60,21,60,60,52,46,25,60,24,63,53,8,63,63,63,63,63,8,19,8,30,63,31,31,25,25,16,7,62,24,55,28,63,16,16,63,46,63,63,24,63,37,87
17,8,0,0,0,9,8,0,8,8,8,11,0,11,16,11,16,16,0,8,10,16,16,0,12,8,8,8,16,24,16,8,16,16,16,23,16,16,16,12,16,8,16,16,16,8,16,23,16,0,24,6,26,8,24,60,16,8,19,19,25,0,60,25,63,60,3,12,8,25,30,16,29,18,16,27,63,30,32,55,27,8,29,63,8,8,29,63,63,8,63,11,55,54,54,24,63,63,63,46,16
18,8,8,0,0,8,8,12,8,0,0,15,9,13,0,16,16,8,16,13,0,16,16,8,16,21,16,20,16,20,16,16,8,16,16,10,16,0,21,16,16,20,8,16,16,36,8,16,21,24,24,16,22,21,52,24,17,27,60,60,17,60,7,16,30,60,60,27,22,22,8,63,30,22,15,23,63,63,63,63,63,0,8,63,63,54,16,54,8,55,24,63,22,25,37,63,16,63,29,63,31
19,8,8,0,0,0,8,8,8,11,0,8,11,0,8,11,0,16,16,14,0,16,16,14,22,0,0,0,16,0,16,16,16,16,16,17,16,16,19,16,20,20,20,8,21,16,8,18,23,16,60,19,16,8,16,0,2,16,8,22,60,60,44,63,24,24,16,60,20,63,63,6,63,21,32,63,26,28,63,63,63,63,21,28,63,26,63,30,63,46,63,63,63,21,96,88,26,31,63,63,60
20,8,0,8,8,13,0,13,10,8,13,8,8,13,0,16,8,16,8,16,16,16,16,0,0,16,16,16,21,16,20,16,16,16,19,2,16,8,16,16,18,0,20,16,8,8,16,61,24,60,16,16,21,24,8,26,16,60,60,24,60,60,0,28,60,63,8,63,23,16,28,32,8,27,20,63,24,63,19,24,8,47,63,46,63,25,16,47,8,63,55,18,27,23,45,55,33,63,55,63,54
21,8,0,0,0,8,13,11,0,8,8,8,8,0,16,8,0,11,11,16,0,16,22,16,8,8,0,16,8,8,16,16,16,12,0,16,16,16,16,16,20,16,16,8,60,22,23,8,16,25,8,6,8,29,16,60,44,24,60,16,52,24,27,24,27,23,60,19,20,24,63,63,0,30,16,26,26,63,63,27,63,8,63,8,8,28,26,32,54,30,54,16,63,16,16,27,54,17,16,0,28
22,8,8,8,0,8,8,8,9,8,8,4,12,16,0,0,16,16,12,16,16,16,11,16,8,8,16,17,16,8,16,16,8,16,8,16,8,3,16,16,0,25,15,21,36,24,17,18,22,16,8,60,26,16,17,60,16,60,8,44,24,16,9,60,24,22,24,8,28,27,0,63,63,63,32,26,63,28,63,26,63,47,27,63,16,62,63,63,63,63,29,29,63,63,63,38,47,63,98,35,94
23,8,8,0,8,13,8,9,0,8,0,11,0,14,16,8,16,11,9,16,8,16,0,15,16,16,8,19,0,24,16,16,16,8,27,16,21,23,16,17,25,16,8,8,12,16,52,8,8,20,25,16,16,60,23,16,16,8,60,21,16,60,8,60,24,63,27,24,60,61,60,28,19,63,63,63,27,28,27,8,63,31,63,46,0,55,8,45,63,46,63,63,63,18,16,55,55,63,26,63,63
